Time[s], TX, RX, Dir, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
14.233410000000001, 0, 1, 0, 1, 1, 1, 1, 1
14.233570000000000, 1, 1, 1, 1, 1, 1, 1, 1
14.233800000000000, 1, 0, 1, 1, 1, 1, 1, 1
14.252390000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.253320000000000, 1, 0, 1, 1, 1, 1, 1, 1
14.254770000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.254820000000000, 1, 0, 1, 1, 1, 1, 1, 1
14.254920000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.255030000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.255180000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.255240000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.255300000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.255400000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.255450000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.255610000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.255660000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.255770000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.256830000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.256880000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.256930000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.257300000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.257360000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.257780000000000, 1, 0, 1, 1, 1, 1, 1, 1
14.258870000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.259070000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.259230000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.259340000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.300340000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.301270000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.302350000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.302820000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.302880000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.302990000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.303040000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.303140000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.303250000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.303350000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.304330000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.304380000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.304440000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.304800000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.304870000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.304980000000000, 1, 0, 1, 1, 1, 1, 1, 1
14.305030000000000, 1, 0, 0, 1, 1, 1, 1, 1
14.305340000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.306560000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.306610000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.306660000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.306710000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.306770000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.306820000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.306870000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.307030000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.320590000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.321520000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.322610000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.322820000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.322870000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.322930000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.322980000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.323080000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.323140000000000, 1, 0, 0, 1, 1, 1, 1, 1
14.323190000000000, 1, 0, 1, 1, 1, 1, 1, 1
14.323250000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.323510000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.323560000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.323610000000000, 1, 0, 1, 1, 1, 1, 1, 1
14.324600000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.324910000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.324960000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.325070000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.326790000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.326850000000000, 1, 0, 1, 1, 1, 1, 1, 1
14.326900000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.326950000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.327060000000001, 1, 0, 0, 1, 1, 1, 1, 1
